"","title","year","volnum","issuenum","pagenum","primauth","tri_instance","st","ct","site","jstor","ststring","ctstring","comm","avoid","fulltri"
"1","The Consequences of Social Processes: Aggregate Populations, Projectile Point Accumulation, and Subsistence Patterns in the American Southwest",2013,78,1,152,"Arakawa","42SA6815",42,"SA","6815","http://www.jstor.org/stable/23486389","Utah","Sanpete","","","42SA6815"
"2","The Consequences of Social Processes: Aggregate Populations, Projectile Point Accumulation, and Subsistence Patterns in the American Southwest",2013,78,1,152,"Arakawa","ML1147",NA,"ML","1147","http://www.jstor.org/stable/23486389","Utah","San Juan","UNKNOWN STATE - NEEDS ADDRESSING - JW 25 September 2017 this is in Utah, in the Monticello Lake District of US National Forest Service, San Juan County, Utah, see also https://www.osti.gov/scitech/servlets/purl/7114717 ","High, not a real trinomial","NAML1147"
"3","The Consequences of Social Processes: Aggregate Populations, Projectile Point Accumulation, and Subsistence Patterns in the American Southwest",2013,78,1,153,"Arakawa","MV499",5,"MV","499","http://www.jstor.org/stable/23486389","Colorado","Mesa Verde","","","5MV499"
"4","The Consequences of Social Processes: Aggregate Populations, Projectile Point Accumulation, and Subsistence Patterns in the American Southwest",2013,78,1,153,"Arakawa","MV866",5,"MV","866","http://www.jstor.org/stable/23486389","Colorado","Mesa Verde","","","5MV866"
"5","The Consequences of Social Processes: Aggregate Populations, Projectile Point Accumulation, and Subsistence Patterns in the American Southwest",2013,78,1,153,"Arakawa","MV875-a",5,"MV","875A","http://www.jstor.org/stable/23486389","Colorado","Mesa Verde","","","5MV875A"
"6","The Consequences of Social Processes: Aggregate Populations, Projectile Point Accumulation, and Subsistence Patterns in the American Southwest",2013,78,1,153,"Arakawa","MV875-b",5,"MV","875B","http://www.jstor.org/stable/23486389","Colorado","Mesa Verde","","","5MV875B"
"7","The Consequences of Social Processes: Aggregate Populations, Projectile Point Accumulation, and Subsistence Patterns in the American Southwest",2013,78,1,153,"Arakawa","5MT10010",5,"MT","10010","http://www.jstor.org/stable/23486389","Colorado","Montezuma","","","5MT10010"
"8","The Consequences of Social Processes: Aggregate Populations, Projectile Point Accumulation, and Subsistence Patterns in the American Southwest",2013,78,1,153,"Arakawa","5MT2564",5,"MT","2564","http://www.jstor.org/stable/23486389","Coorado","Montezuma","","","5MT2564"
"9","The Consequences of Social Processes: Aggregate Populations, Projectile Point Accumulation, and Subsistence Patterns in the American Southwest",2013,78,1,153,"Arakawa","5MT9541",5,"MT","9541","http://www.jstor.org/stable/23486389","Colorado","Montezuma","","","5MT9541"
"10","The Consequences of Social Processes: Aggregate Populations, Projectile Point Accumulation, and Subsistence Patterns in the American Southwest",2013,78,1,153,"Arakawa","5MT9933",5,"MT","9933","http://www.jstor.org/stable/23486389","Colorado","Montezuma","","","5MT9933"
