"","title","year","volnum","issuenum","pagenum","primauth","st","ct","site","jstor","ststring","ctstring","comm","avoid"
"1","The Consequences of Social Processes: Aggregate Populations, Projectile Point Accumulation, and Subsistence Patterns in the American Southwest",2013,78,1,152,"Arakawa",42,"SA","6815","http://www.jstor.org/stable/23486389","Utah","Sanpete","",""
"2","The Consequences of Social Processes: Aggregate Populations, Projectile Point Accumulation, and Subsistence Patterns in the American Southwest",2013,78,1,152,"Arakawa",NA,"ML","1147","http://www.jstor.org/stable/23486389","Utah","San Juan","UNKNOWN STATE - NEEDS ADDRESSING - JW 25 September 2017 this is in Utah, in the Monticello Lake District of US National Forest Service, San Juan County, Utah, see also https://www.osti.gov/scitech/servlets/purl/7114717 ","High, not a real trinomial"
"3","The Consequences of Social Processes: Aggregate Populations, Projectile Point Accumulation, and Subsistence Patterns in the American Southwest",2013,78,1,153,"Arakawa",NA,"MV","499","http://www.jstor.org/stable/23486389","Colorado","Mesa Verde","",""
"4","The Consequences of Social Processes: Aggregate Populations, Projectile Point Accumulation, and Subsistence Patterns in the American Southwest",2013,78,1,153,"Arakawa",NA,"MV","866","http://www.jstor.org/stable/23486389","Colorado","Mesa Verde","",""
"5","The Consequences of Social Processes: Aggregate Populations, Projectile Point Accumulation, and Subsistence Patterns in the American Southwest",2013,78,1,153,"Arakawa",NA,"MV","875A","http://www.jstor.org/stable/23486389","Colorado","Mesa Verde","",""
"6","The Consequences of Social Processes: Aggregate Populations, Projectile Point Accumulation, and Subsistence Patterns in the American Southwest",2013,78,1,153,"Arakawa",NA,"MV","875B","http://www.jstor.org/stable/23486389","Colorado","Mesa Verde","",""
"7","The Consequences of Social Processes: Aggregate Populations, Projectile Point Accumulation, and Subsistence Patterns in the American Southwest",2013,78,1,153,"Arakawa",5,"MT","10010","http://www.jstor.org/stable/23486389","Colorado","Montezuma","",""
"8","The Consequences of Social Processes: Aggregate Populations, Projectile Point Accumulation, and Subsistence Patterns in the American Southwest",2013,78,1,153,"Arakawa",5,"MT","2564","http://www.jstor.org/stable/23486389","Coorado","Montezuma","",""
"9","The Consequences of Social Processes: Aggregate Populations, Projectile Point Accumulation, and Subsistence Patterns in the American Southwest",2013,78,1,153,"Arakawa",5,"MT","9541","http://www.jstor.org/stable/23486389","Colorado","Montezuma","",""
"10","The Consequences of Social Processes: Aggregate Populations, Projectile Point Accumulation, and Subsistence Patterns in the American Southwest",2013,78,1,153,"Arakawa",5,"MT","9933","http://www.jstor.org/stable/23486389","Colorado","Montezuma","",""
