Title,Year ,Volume Number,Issue Number,Page Number,Primary Author's Last Name,Trinomial Instance,JSTOR LINK,State,County ,Comments,Avoid (H/M/L)
"The Consequences of Social Processes: Aggregate Populations, Projectile Point Accumulation, and Subsistence Patterns in the American Southwest",2013,78,1,152,Arakawa,42SA6815,http://www.jstor.org/stable/23486389,Utah,Sanpete,,
"The Consequences of Social Processes: Aggregate Populations, Projectile Point Accumulation, and Subsistence Patterns in the American Southwest",2013,78,1,152,Arakawa,ML1147,http://www.jstor.org/stable/23486389,Utah,San Juan,"UNKNOWN STATE - NEEDS ADDRESSING - JW 25 September 2017 this is in Utah, in the Monticello Lake District of US National Forest Service, San Juan County, Utah, see also https://www.osti.gov/scitech/servlets/purl/7114717 ","High, not a real trinomial"
"The Consequences of Social Processes: Aggregate Populations, Projectile Point Accumulation, and Subsistence Patterns in the American Southwest",2013,78,1,153,Arakawa,MV499,http://www.jstor.org/stable/23486389,Colorado,Mesa Verde,,
"The Consequences of Social Processes: Aggregate Populations, Projectile Point Accumulation, and Subsistence Patterns in the American Southwest",2013,78,1,153,Arakawa,MV866,http://www.jstor.org/stable/23486389,Colorado,Mesa Verde,,
"The Consequences of Social Processes: Aggregate Populations, Projectile Point Accumulation, and Subsistence Patterns in the American Southwest",2013,78,1,153,Arakawa,MV875-a,http://www.jstor.org/stable/23486389,Colorado,Mesa Verde,,
"The Consequences of Social Processes: Aggregate Populations, Projectile Point Accumulation, and Subsistence Patterns in the American Southwest",2013,78,1,153,Arakawa,MV875-b,http://www.jstor.org/stable/23486389,Colorado,Mesa Verde,,
"The Consequences of Social Processes: Aggregate Populations, Projectile Point Accumulation, and Subsistence Patterns in the American Southwest",2013,78,1,153,Arakawa,5MT10010,http://www.jstor.org/stable/23486389,Colorado,Montezuma,,
"The Consequences of Social Processes: Aggregate Populations, Projectile Point Accumulation, and Subsistence Patterns in the American Southwest",2013,78,1,153,Arakawa,5MT2564,http://www.jstor.org/stable/23486389,Coorado,Montezuma,,
"The Consequences of Social Processes: Aggregate Populations, Projectile Point Accumulation, and Subsistence Patterns in the American Southwest",2013,78,1,153,Arakawa,5MT9541,http://www.jstor.org/stable/23486389,Colorado,Montezuma,,
"The Consequences of Social Processes: Aggregate Populations, Projectile Point Accumulation, and Subsistence Patterns in the American Southwest",2013,78,1,153,Arakawa,5MT9933,http://www.jstor.org/stable/23486389,Colorado,Montezuma,,
"The Consequences of Social Processes: Aggregate Populations, Projectile Point Accumulation, and Subsistence Patterns in the American Southwest",2013,78,1,153,Arakawa,5MT10188,http://www.jstor.org/stable/23486389,Colorado,Montezuma,,
"The Consequences of Social Processes: Aggregate Populations, Projectile Point Accumulation, and Subsistence Patterns in the American Southwest",2013,78,1,153,Arakawa,5MT10206,http://www.jstor.org/stable/23486389,Colorado,Montezuma,,
"The Consequences of Social Processes: Aggregate Populations, Projectile Point Accumulation, and Subsistence Patterns in the American Southwest",2013,78,1,153,Arakawa,5MT10207,http://www.jstor.org/stable/23486389,Colorado,Montezuma,,
"The Consequences of Social Processes: Aggregate Populations, Projectile Point Accumulation, and Subsistence Patterns in the American Southwest",2013,78,1,153,Arakawa,5MT7704,http://www.jstor.org/stable/23486389,Colorado,Montezuma,,
