state,county,row
42,SA,6815
00,,ML1147
00,,MV499
00,,MV866
00,,MV875A
00,,MV875B
5,MT,10010
5,MT,2564
5,MT,9541
5,MT,9933
5,MT,10188
5,MT,10206
5,MT,10207
5,MT,7704
5,MT,7723
5,MT,8943
5,MT,3868
5,MT,123
5,MT,10246
5,MT,10459
5,MT,10508
5,MT,11338
5,MT,11842
5,MT,3807
5,MT,3901
5,MT,3951
5,MT,5
5,MT,5152
5,MT,765
5,MT,4545
5,MT,4613
5,MT,23
5,MT,4725
5,MT,2182
5,MT,4475
5,MT,4477
5,MT,2149
5,MV,1675
5,MV,1452
5,MV,1595
5,MV,1645
5,MT,3918
5,MT,1595
5,MT,1825
45,OK,4
42,SA,23939
42,SA,23942
42,SA,23943
42,SA,23944
42,SA,23945
42,SA,25376
42,SA,21367
42,SA,24619
42,SA,11569
42,SA,24710
42,SA,11571
42,SA,25148
42,SA,23186
42,GR,3294
42,GR,3295
42,GR,3296
42,SA,25184
42,SA,25185
42,SA,25187
42,SA,25188
42,SA,25189
42,SA,25192
42,SA,25193
42,SA,25194
42,MD,1770
42,MD,1772
42,MD,1773
42,MD,1775
42,MD,1776
42,MD,1777
42,MD,1778
42,MD,1779
42,MD,1780
42,MD,1781
42,MD,1782
42,MD,1784
42,MD,1785
42,MD,1786
42,MD,1787
42,MD,1791
42,SA,23941
42,SA,23493
42,SA,23944
42,SA,25187
42,SA,25191
42,MD,1769
42,MD,1625
5,GN,149
34,HP,60
5,BL,65
5,BL,103
5,BL,127
5,BL,147
5,LR,6
5,CF,373
5,BL,114
5,GA,55
5,BL,523
47,LC,394
47,LC,95
13,AM,18A
13,AM,200
13,AM,201
13,AM,403
13,AM,404
21,HU,2
21,HU,6
21,HU,148
47,LC,19
47,LC,20
47,LC,34
47,LC,43
47,LC,44
47,LC,45
47,LC,61
47,LC,149
47,LC,167
47,LC,176
47,LC,262
47,LC,359
47,LC,432
13,AM,1
13,AM,2
13,AM,21
13,AM,23
13,AM,36
13,AM,42
13,AM,52
13,AM,61
13,AM,62
13,AM,63
21,HU,1
21,HU,26
1,HA,7
1,HO,27
1,JE,12
1,JE,14
1,PI,85
1,TU,500
1,TU,56
8,LE,1
9,BR,3
9,CH,1
9,CK,5
9,CY,62
9,GE,4
9,GE,5
9,MG,46
9,QU,1
9,ST,3
11,MS,2
12,VG,1
16,IV,11
22,CS,502
22,HO,502
22,LW,510
22,TS,500
22,WS,500
22,AD,500
25,MG,2
40,HA,3
40,HN,1
40,HY,14
40,MG,31
40,MR,6
44,OR,1
41,VV,612
41,VV,201
41,VV,18
41,VV,76
41,VV,83
41,VV,124
41,VV,162A
41,VV,1000
41,VV,1230
41,VV,1285
41,VV,1340
41,VV,1480
41,VV,218
41,VV,74
41,VV,75
41,VV,18
41,VV,76
41,VV,83
41,VV,124
41,VV,612
41,VV,78
41,VV,282
41,VV,324
41,VV,408
41,VV,700
41,VV,888
41,VV,64
41,VV,81
41,VV,342
41,VV,696
41,VV,1230
41,VV,1284
41,VV,1603
41,VV,1604
41,VV,2038
33,RO,347
33,RO,62
33,PI,1880
33,BR,10
41,VV,218
15,MF,1
15,LE,1
15,WO,2
15,PO,1
15,MF,10
15,LE,50
35,LK,94
35,HA,792
33,MY,57
33,MY,499
33,RO,27
33,RO,40
33,RO,22
33,RO,63
33,RO,39
33,HA,41
33,WA,2
33,HA,24
33,HI,1
33,RO,27
33,RO,22
33,SC,4
33,RO,63
33,RO,39
33,RO,32
33,HA,41
33,WA,2
33,HA,24
42,WN,420
26,LN,110
26,LN,111
42,GR,239
00,,NA5686
00,,NA5607
42,WN,421
42,WN,420
45,CA,426
45,SJ,169
45,CA,426
45,SJ,169
45,CA,24
45,CA,240
45,CA,21
35,MU,4
45,SJ,24
45,SJ,254
45,SJ,278
45,SJ,280
45,KI,347
8,JE,740
8,JE,1577
8,JE,1552
8,JE,781
8,JE,1550
8,JE,1552
8,JE,1575
8,JE,1574
8,JE,1578
8,JE,1579
8,JE,1557
3,CS,270
1,JE,31
1,JE,32
1,JE,33
3,CS,270
22,CO,573
22,CO,773
22,IT,581
48,UT,390
48,SW,1373
48,SW,304
48,SW,1217
48,SW,1156
48,SU,1006
48,SU,1156
20,RO,1
36,MR,43
41,BX,1
41,HR,80
41,NU,2
41,GV,66
41,LK,28
41,WH,39
41,AU,36
41,FB,3
41,VT,1
41,BX,5
41,NU,5
41,HR,31
41,RF,1
41,VT,4
41,GD,2
41,AU,37
41,KR,241
00,,GV66
00,,HR80
00,,NU2
00,,BX1
00,,BX2
00,,AU36
00,,FB3
00,,VT1
00,,VT2
00,,WH39
00,,KR241
41,VT,94
41,VT,98
20,SA,1276
20,SA,1251
48,SW,8842
48,SW,13156
48,UT,375
48,SW,8842
48,SW,13156
48,UT,375
25,GD,51
25,GD,111
25,GD,19
25,GD,51
14,DO,417
23,TA,601
23,GR,41B
11,SA,87
11,GE,4
23,MT,2
23,SN,866
13,MN,2
14,LV,315
14,ST,351
25,CN,55
34,CM,131
48,CK,7
48,NA,67
5,LR,99
5,EA,799
11,GE,4
11,SA,87
23,MN,275
14,ML,307
14,JW,303
35,LK,3400
20,MA,11
20,MA,12
20,MA,11
20,MA,12
20,MA,19
26,WP,4927
26,WP,2200
26,LN,2072
09,CH,71
16,MA,20
11,MS,30
9,FL,5
40,BY,13
40,MR,6
31,MG,23
22,YZ,557
3,LN,42
16,AV,2
16,TE,2
16,TE,1
9,BR,1
22,WS,500
11,MS,2
11,S,34
1,TU,500
1,BA,4
22,AD,504
16,WC,5
22,HA,520
22,HA,525
16,CT,147
22,HA,501
16,WC,3
22,CR,504
22,HU,505
16,CT,17
16,MA,47
16,CT,312
16,CT,17
16,CT,312
22,HA,506
16,CT,509
16,OR,7
22,HA,581
16,CT,354
16,CT,3
16,OR,6
16,MA,20
16,ST,1
16,MA,62
22,HA,515
16,MA,57
16,SL,126
22,HA,525
23,MI,25
23,MI,20
23,MN,621
23,MI,621
23,NM,561
23,MI,605
23,NM,575
40,HW,44
40,HW,45
40,MR,25
40,MR,40
40,MR,21
40,LD,45
40,LD,38
40,MR,23
40,RH,6
40,MI,11
40,RE,108
40,MR,41
40,GN,1
40,MR,40
16,MA,20
40,MG,31
40,MR,6
9,MU,101
40,MR,6
9,EB,85
11,GE,2
11,MG,17
11,PK,7
11,PK,1384
11,PK,512
8,JE,781
11,PK,2
11,C,12
11,JY,70
11,MG,15
11,PK,1245
11,GE,7
11,ST,1
11,PK,513
11,PK,500
11,C,135
11,C,4
11,PK,1
11,ST,123
11,C,8
11,C,373
5,LP,110
5,LP,111
5,LP,11
5,MT,2192
5,MT,2848
5,MT,2853
5,MT,5107
5,MT,2182
5,MT,23
5,MT,4671
5,MT,4725
5,MT,2320
5,MT,4475
5,MT,5108
5,MT,4480
5,MT,1604
5,MT,8899
5,MT,8937
5,MT,3868
5,MT,4477
5,MT,2525
5,MT,8934
5,MV,1452
5,MV,875
5,MT,5501
5,MT,5106
5,MT,8827
5,MT,2433
5,MV,866
5,MV,1229
5,MV,5498
5,MV,2149
5,MT,2235
5,MT,948
5,MT,2148
5,MT,2544
5,MV,1595
5,MV,499
5,MT,7723
5,MT,10207
5,MT,9735
5,MV,4
5,MV,1200
5,MV,1228
5,MV,10206
23,RI,59
5,MT,765
32,BL,8
32,MO,11
3,CT,8
3,CT,30
3,CS,27
23,CE,426
35,CLT,20
35,CLT,20
35,CLT,47
35,CLT,13
20,SA,581
20,SA,1043
20,SA,596
20,IA,305
20,SA,664
20,DE,17
20,MK,22
20,AN,24
20,AN,22
20,EM,4
20,CX,23
20,ST,1
20,CX,18
20,SA,620
45,GR,97
45,WT,41
45,KT,1362
45,FR,50
15,BT,5
8,CR,208
8,LL,33
15,OH,2
8,CH,12
8,VO,24
8,VO,214
8,CR,2
8,MO,49
8,MO,82
8,CR,17
8,CR,48
9,LI,231
9,GN,57
38,CH,45
20,MA,11
20,MA,12
12,VG,1
5,MT,8837
5,MT,4545
5,MT,2525
5,MT,9360
5,MT,4684
5,DL,1138
5,DL,121B
5,MT,8899
5,DL,1091
5,MT,8937
5,MT,8822
5,DL,112
5,MT,4613
5,MT,4644
5,MT,2193
5,MT,2236
5,MT,21082
5,MT,2181
5,MT,8838
5,MT,2830
5,MT,829
5,MT,2829
5,DL,1120
5,MT,2831
5,MT,2826
5,MT,4725
5,MT,2189
5,MT,23
5,MT,3868
5,MT,4477
5,MT,8371
5,MT,11555
5,MT,8836
5,MT,8827
5,MT,1786
5,MT,2527
5,MT,8839
5,MT,2433
5,MT,8829
5,MT,8834
5,MT,7723
5,MT,2544
5,MT,11338
5,MT,3807
5,MT,8943
5,MT,2148
5,MT,7704
5,MT,3778
5,MT,10207
5,MT,5152
5,MT,10206
5,MT,3892
5,MT,3918
5,MT,13091
5,MT,3936
5,MT,3930
5,MT,10508
5,MT,262
5,MT,10459
5,MT,5
5,MT,3951
5,MT,10246
5,MT,1825
5,MT,765
5,MT,16788
5,MT,9169
5,MT,5518
16,WC,5
22,LO,538
22,OK,520
22,OK,578
22,OK,694
22,HI,500
22,GE,512
22,WS,500
41,RK,214
41,RR,181
41,TT,670
41,CS,150
41,TT,372
41,FK,70
41,TT,110
41,TT,650
41,UR,21
41,UR,133
41,UR,9
41,RA,65
41,WD,518
41,HS,74
41,PN,14
41,CE,42
41,CE,289
41,NA,20
41,SA,123
41,SA,89
41,FK,7
41,RK,215
41,RK,4
41,CE,19
41,CS,25
41,LR,1
41,CS,8
41,DT,6
41,HE,46
35,LK,1529
35,LK,3147
35,LK,3228
35,LK,3226
35,LK,3260
35,LK,3148
35,LK,3128
35,LK,3227
29,SJ,627
29,SJ,629
5,LP,185
5,LP,237
5,LP,171
5,LP,241
5,LP,187
5,LP,242
5,LP,240
5,LP,243
5,LP,179
5,LP,176
5,LP,177
5,LP,239
5,LP,503
5,LP,246
5,LP,511
5,LP,245
5,LP,184
5,LP,248
5,LP,481
5,LP,236
5,LP,177
5,LP,483
5,LP,379
5,LP,240
5,LP,242
5,LP,245
47,JE,1
11,MS,2
33,WY,252
8,SJ,31
8,SJ,34
18,AN,286
18,AN,287
18,DO,127
18,DO,220
18,DO,130
18,DO,429
18,DO,436
44,NH,478
44,NH,440
18,DO,478
18,DO,440
25,NH,2
14,OT,5
14,CY,1
14,GE,127
14,RY,301
14,PO,4
23,BN,2
38,AK,224
9,LI,444
8,WL,1278
8,WL,1005
9,TF,5
38,CH,1609
8,DI,52
1,MG,300
9,CB,1
9,CB,138
38,ED,5
38,BU,29
38,ED,9
16,WC,5
16,WC,10
16,MA,201
16,OU,259
16,L,17
16,CT,5
16,OU,89
16,RI,105
22,WR,691
16,FR,2
48,FR,307
48,HO,4
33,ST,357
41,EP,401
1,LU,496
1,LU,498
22,JA,503
38,AL,23
41,VV,456
47,CR,460
41,LK,28
41,NU,2
41,VT,1
